date,hour,Frequency,type,helpLevel
2022/4/14,9,2,disease,critical
2022/4/14,9,9,serious,critical
2022/4/14,9,1,goods,acute
2022/4/14,9,8,disease,acute
2022/4/14,9,2,serious,acute
2022/4/14,9,4,goods,urgent
2022/4/14,9,3,disease,urgent
2022/4/14,10,1,other,critical
2022/4/14,10,5,goods,critical
2022/4/14,10,4,disease,critical
2022/4/14,10,30,serious,critical
2022/4/14,10,2,other,acute
2022/4/14,10,1,pregnant,acute
2022/4/14,10,2,goods,acute
2022/4/14,10,64,disease,acute
2022/4/14,10,1,serious,acute
2022/4/14,10,16,other,urgent
2022/4/14,10,1,pregnant,urgent
2022/4/14,10,22,goods,urgent
2022/4/14,10,3,disease,urgent
2022/4/14,11,2,other,critical
2022/4/14,11,3,goods,critical
2022/4/14,11,13,disease,critical
2022/4/14,11,41,serious,critical
2022/4/14,11,1,other,acute
2022/4/14,11,1,pregnant,acute
2022/4/14,11,1,goods,acute
2022/4/14,11,62,disease,acute
2022/4/14,11,1,serious,acute
2022/4/14,11,11,other,urgent
2022/4/14,11,1,pregnant,urgent
2022/4/14,11,37,goods,urgent
2022/4/14,11,2,disease,urgent
2022/4/14,12,3,other,critical
2022/4/14,12,2,goods,critical
2022/4/14,12,11,disease,critical
2022/4/14,12,47,serious,critical
2022/4/14,12,3,goods,acute
2022/4/14,12,76,disease,acute
2022/4/14,12,2,serious,acute
2022/4/14,12,18,other,urgent
2022/4/14,12,2,pregnant,urgent
2022/4/14,12,20,goods,urgent
2022/4/14,12,4,disease,urgent
2022/4/14,12,2,serious,urgent
2022/4/14,13,7,other,critical
2022/4/14,13,7,goods,critical
2022/4/14,13,9,disease,critical
2022/4/14,13,21,serious,critical
2022/4/14,13,4,other,acute
2022/4/14,13,8,goods,acute
2022/4/14,13,19,disease,acute
2022/4/14,13,1,serious,acute
2022/4/14,13,1,other,urgent
2022/4/14,13,6,goods,urgent
2022/4/14,13,4,disease,urgent
2022/4/14,14,3,other,critical
2022/4/14,14,7,goods,critical
2022/4/14,14,13,disease,critical
2022/4/14,14,29,serious,critical
2022/4/14,14,4,other,acute
2022/4/14,14,6,goods,acute
2022/4/14,14,30,disease,acute
2022/4/14,14,5,serious,acute
2022/4/14,14,4,other,urgent
2022/4/14,14,1,pregnant,urgent
2022/4/14,14,11,goods,urgent
2022/4/14,14,7,disease,urgent
2022/4/14,15,3,other,critical
2022/4/14,15,6,goods,critical
2022/4/14,15,11,disease,critical
2022/4/14,15,48,serious,critical
2022/4/14,15,3,other,acute
2022/4/14,15,7,goods,acute
2022/4/14,15,78,disease,acute
2022/4/14,15,1,serious,acute
2022/4/14,15,17,other,urgent
2022/4/14,15,1,pregnant,urgent
2022/4/14,15,13,goods,urgent
2022/4/14,15,7,disease,urgent
2022/4/14,16,5,other,critical
2022/4/14,16,2,goods,critical
2022/4/14,16,9,disease,critical
2022/4/14,16,24,serious,critical
2022/4/14,16,1,other,acute
2022/4/14,16,4,goods,acute
2022/4/14,16,30,disease,acute
2022/4/14,16,8,other,urgent
2022/4/14,16,11,goods,urgent
2022/4/14,16,6,disease,urgent
2022/4/14,17,4,other,critical
2022/4/14,17,4,goods,critical
2022/4/14,17,11,disease,critical
2022/4/14,17,14,serious,critical
2022/4/14,17,1,other,acute
2022/4/14,17,6,goods,acute
2022/4/14,17,6,disease,acute
2022/4/14,17,2,serious,acute
2022/4/14,17,2,other,urgent
2022/4/14,17,3,disease,urgent
2022/4/14,17,1,serious,urgent
2022/4/14,18,1,other,critical
2022/4/14,18,4,goods,critical
2022/4/14,18,6,disease,critical
2022/4/14,18,3,serious,critical
2022/4/14,18,5,goods,acute
2022/4/14,18,10,disease,acute
2022/4/14,18,3,serious,acute
2022/4/14,18,2,disease,urgent
2022/4/14,18,1,serious,urgent
2022/4/14,19,2,other,critical
2022/4/14,19,4,goods,critical
2022/4/14,19,10,disease,critical
2022/4/14,19,17,serious,critical
2022/4/14,19,9,goods,acute
2022/4/14,19,7,disease,acute
2022/4/14,19,2,other,urgent
2022/4/14,19,4,goods,urgent
2022/4/14,19,4,disease,urgent
2022/4/14,20,3,other,critical
2022/4/14,20,9,goods,critical
2022/4/14,20,5,disease,critical
2022/4/14,20,15,serious,critical
2022/4/14,20,1,other,acute
2022/4/14,20,9,goods,acute
2022/4/14,20,7,disease,acute
2022/4/14,20,1,other,urgent
2022/4/14,20,3,disease,urgent
2022/4/14,21,2,other,critical
2022/4/14,21,2,goods,critical
2022/4/14,21,8,disease,critical
2022/4/14,21,16,serious,critical
2022/4/14,21,2,other,acute
2022/4/14,21,6,goods,acute
2022/4/14,21,11,disease,acute
2022/4/14,21,6,serious,acute
2022/4/14,21,3,other,urgent
2022/4/14,21,3,goods,urgent
2022/4/14,21,6,disease,urgent
2022/4/14,21,1,serious,urgent
2022/4/14,22,7,other,critical
2022/4/14,22,14,goods,critical
2022/4/14,22,10,disease,critical
2022/4/14,22,14,serious,critical
2022/4/14,22,3,other,acute
2022/4/14,22,11,goods,acute
2022/4/14,22,8,disease,acute
2022/4/14,22,2,serious,acute
2022/4/14,22,4,goods,urgent
2022/4/14,22,2,disease,urgent
2022/4/14,23,7,other,critical
2022/4/14,23,11,goods,critical
2022/4/14,23,8,disease,critical
2022/4/14,23,12,serious,critical
2022/4/14,23,2,other,acute
2022/4/14,23,8,goods,acute
2022/4/14,23,7,disease,acute
2022/4/14,23,2,serious,acute
2022/4/14,23,3,goods,urgent
2022/4/14,23,6,disease,urgent
2022/4/15,24,4,other,critical
2022/4/15,24,7,goods,critical
2022/4/15,24,9,disease,critical
2022/4/15,24,12,serious,critical
2022/4/15,24,6,goods,acute
2022/4/15,24,12,disease,acute
2022/4/15,24,1,serious,acute
2022/4/15,24,1,other,urgent
2022/4/15,24,3,disease,urgent
2022/4/15,1,4,other,critical
2022/4/15,1,7,goods,critical
2022/4/15,1,11,disease,critical
2022/4/15,1,6,serious,critical
2022/4/15,1,1,other,acute
2022/4/15,1,4,goods,acute
2022/4/15,1,6,disease,acute
2022/4/15,1,1,serious,acute
2022/4/15,1,2,goods,urgent
2022/4/15,1,5,disease,urgent
2022/4/15,1,1,serious,urgent
2022/4/15,2,4,other,critical
2022/4/15,2,4,goods,critical
2022/4/15,2,2,disease,critical
2022/4/15,2,8,serious,critical
2022/4/15,2,2,other,acute
2022/4/15,2,6,goods,acute
2022/4/15,2,4,disease,acute
2022/4/15,2,2,other,urgent
2022/4/15,2,1,goods,urgent
2022/4/15,3,1,other,critical
2022/4/15,3,7,goods,critical
2022/4/15,3,5,disease,critical
2022/4/15,3,6,serious,critical
2022/4/15,3,2,other,acute
2022/4/15,3,2,goods,acute
2022/4/15,3,1,disease,acute
2022/4/15,3,2,other,urgent
2022/4/15,3,1,goods,urgent
2022/4/15,4,1,other,critical
2022/4/15,4,2,goods,critical
2022/4/15,4,3,disease,critical
2022/4/15,4,5,serious,critical
2022/4/15,4,1,goods,acute
2022/4/15,4,3,serious,acute
2022/4/15,4,2,other,urgent
2022/4/15,4,1,disease,urgent
2022/4/15,5,3,other,critical
2022/4/15,5,1,goods,critical
2022/4/15,5,2,serious,critical
2022/4/15,5,2,goods,acute
2022/4/15,5,1,disease,acute
2022/4/15,5,1,serious,acute
2022/4/15,5,1,other,urgent
2022/4/15,5,1,disease,urgent
2022/4/15,6,8,goods,critical
2022/4/15,6,5,disease,critical
2022/4/15,6,5,serious,critical
2022/4/15,6,4,goods,acute
2022/4/15,6,2,disease,acute
2022/4/15,6,1,other,urgent
2022/4/15,6,1,disease,urgent
2022/4/15,7,6,other,critical
2022/4/15,7,9,goods,critical
2022/4/15,7,12,disease,critical
2022/4/15,7,10,serious,critical
2022/4/15,7,1,other,acute
2022/4/15,7,1,goods,acute
2022/4/15,7,4,disease,acute
2022/4/15,7,1,serious,acute
2022/4/15,7,5,other,urgent
2022/4/15,7,1,goods,urgent
2022/4/15,7,7,disease,urgent
2022/4/15,8,6,other,critical
2022/4/15,8,6,goods,critical
2022/4/15,8,16,disease,critical
2022/4/15,8,13,serious,critical
2022/4/15,8,3,other,acute
2022/4/15,8,9,goods,acute
2022/4/15,8,9,disease,acute
2022/4/15,8,2,serious,acute
2022/4/15,8,1,other,urgent
2022/4/15,8,3,goods,urgent
2022/4/15,8,1,disease,urgent
2022/4/15,9,4,other,critical
2022/4/15,9,4,goods,critical
2022/4/15,9,9,disease,critical
2022/4/15,9,18,serious,critical
2022/4/15,9,2,other,acute
2022/4/15,9,6,goods,acute
2022/4/15,9,11,disease,acute
2022/4/15,9,5,other,urgent
2022/4/15,9,1,pregnant,urgent
2022/4/15,9,4,goods,urgent
2022/4/15,9,1,disease,urgent
2022/4/15,10,5,other,critical
2022/4/15,10,5,goods,critical
2022/4/15,10,8,disease,critical
2022/4/15,10,26,serious,critical
2022/4/15,10,1,other,acute
2022/4/15,10,1,pregnant,acute
2022/4/15,10,2,goods,acute
2022/4/15,10,43,disease,acute
2022/4/15,10,7,other,urgent
2022/4/15,10,10,goods,urgent
2022/4/15,10,1,disease,urgent
2022/4/15,11,6,other,critical
2022/4/15,11,7,goods,critical
2022/4/15,11,6,disease,critical
2022/4/15,11,27,serious,critical
2022/4/15,11,2,other,acute
2022/4/15,11,1,pregnant,acute
2022/4/15,11,5,goods,acute
2022/4/15,11,51,disease,acute
2022/4/15,11,1,serious,acute
2022/4/15,11,13,other,urgent
2022/4/15,11,4,pregnant,urgent
2022/4/15,11,8,goods,urgent
2022/4/15,11,5,disease,urgent
2022/4/15,12,2,goods,critical
2022/4/15,12,8,disease,critical
2022/4/15,12,40,serious,critical
2022/4/15,12,1,other,acute
2022/4/15,12,3,goods,acute
2022/4/15,12,58,disease,acute
2022/4/15,12,5,serious,acute
2022/4/15,12,10,other,urgent
2022/4/15,12,2,pregnant,urgent
2022/4/15,12,6,goods,urgent
2022/4/15,12,3,disease,urgent
2022/4/15,13,3,other,critical
2022/4/15,13,4,goods,critical
2022/4/15,13,6,disease,critical
2022/4/15,13,31,serious,critical
2022/4/15,13,1,goods,acute
2022/4/15,13,48,disease,acute
2022/4/15,13,1,serious,acute
2022/4/15,13,12,other,urgent
2022/4/15,13,3,pregnant,urgent
2022/4/15,13,13,goods,urgent
2022/4/15,13,1,disease,urgent
2022/4/15,14,2,other,critical
2022/4/15,14,6,goods,critical
2022/4/15,14,2,disease,critical
2022/4/15,14,32,serious,critical
2022/4/15,14,1,other,acute
2022/4/15,14,3,goods,acute
2022/4/15,14,51,disease,acute
2022/4/15,14,1,serious,acute
2022/4/15,14,9,other,urgent
2022/4/15,14,8,goods,urgent
2022/4/15,14,2,disease,urgent
2022/4/15,15,4,goods,critical
2022/4/15,15,12,disease,critical
2022/4/15,15,36,serious,critical
2022/4/15,15,1,other,acute
2022/4/15,15,4,goods,acute
2022/4/15,15,34,disease,acute
2022/4/15,15,16,other,urgent
2022/4/15,15,1,pregnant,urgent
2022/4/15,15,6,goods,urgent
2022/4/15,15,1,disease,urgent
2022/4/15,16,6,goods,critical
2022/4/15,16,6,disease,critical
2022/4/15,16,29,serious,critical
2022/4/15,16,2,other,acute
2022/4/15,16,3,goods,acute
2022/4/15,16,46,disease,acute
2022/4/15,16,1,serious,acute
2022/4/15,16,12,other,urgent
2022/4/15,16,10,goods,urgent
2022/4/15,16,1,serious,urgent
2022/4/15,17,2,other,critical
2022/4/15,17,6,goods,critical
2022/4/15,17,1,disease,critical
2022/4/15,17,26,serious,critical
2022/4/15,17,2,other,acute
2022/4/15,17,3,goods,acute
2022/4/15,17,41,disease,acute
2022/4/15,17,2,serious,acute
2022/4/15,17,4,other,urgent
2022/4/15,17,17,goods,urgent
2022/4/15,18,4,other,critical
2022/4/15,18,10,goods,critical
2022/4/15,18,3,disease,critical
2022/4/15,18,19,serious,critical
2022/4/15,18,1,other,acute
2022/4/15,18,3,goods,acute
2022/4/15,18,39,disease,acute
2022/4/15,18,13,other,urgent
2022/4/15,18,14,goods,urgent
2022/4/15,18,3,disease,urgent
2022/4/15,19,1,other,critical
2022/4/15,19,6,goods,critical
2022/4/15,19,6,disease,critical
2022/4/15,19,27,serious,critical
2022/4/15,19,3,other,acute
2022/4/15,19,30,disease,acute
2022/4/15,19,1,serious,acute
2022/4/15,19,5,other,urgent
2022/4/15,19,4,pregnant,urgent
2022/4/15,19,10,goods,urgent
2022/4/15,19,1,disease,urgent
2022/4/15,19,1,serious,urgent
2022/4/15,20,2,other,critical
2022/4/15,20,7,goods,critical
2022/4/15,20,8,disease,critical
2022/4/15,20,16,serious,critical
2022/4/15,20,1,other,acute
2022/4/15,20,1,pregnant,acute
2022/4/15,20,2,goods,acute
2022/4/15,20,28,disease,acute
2022/4/15,20,3,other,urgent
2022/4/15,20,1,pregnant,urgent
2022/4/15,20,5,goods,urgent
2022/4/15,21,5,other,critical
2022/4/15,21,7,goods,critical
2022/4/15,21,1,disease,critical
2022/4/15,21,17,serious,critical
2022/4/15,21,1,pregnant,acute
2022/4/15,21,3,goods,acute
2022/4/15,21,21,disease,acute
2022/4/15,21,6,other,urgent
2022/4/15,21,6,goods,urgent
2022/4/15,22,1,other,critical
2022/4/15,22,4,goods,critical
2022/4/15,22,3,disease,critical
2022/4/15,22,20,serious,critical
2022/4/15,22,13,disease,acute
2022/4/15,22,1,serious,acute
2022/4/15,22,6,other,urgent
2022/4/15,22,1,pregnant,urgent
2022/4/15,22,9,goods,urgent
2022/4/15,23,1,other,critical
2022/4/15,23,2,goods,critical
2022/4/15,23,2,disease,critical
2022/4/15,23,14,serious,critical
2022/4/15,23,3,goods,acute
2022/4/15,23,23,disease,acute
2022/4/15,23,1,serious,acute
2022/4/15,23,6,other,urgent
2022/4/15,23,6,goods,urgent
2022/4/16,24,3,other,critical
2022/4/16,24,2,goods,critical
2022/4/16,24,3,disease,critical
2022/4/16,24,9,serious,critical
2022/4/16,24,1,other,acute
2022/4/16,24,1,pregnant,acute
2022/4/16,24,3,goods,acute
2022/4/16,24,7,disease,acute
2022/4/16,24,2,other,urgent
2022/4/16,24,4,goods,urgent
2022/4/16,24,2,disease,urgent
2022/4/16,1,1,goods,critical
2022/4/16,1,2,disease,critical
2022/4/16,1,1,serious,critical
2022/4/16,1,8,disease,acute
2022/4/16,1,1,other,urgent
2022/4/16,1,1,goods,urgent
2022/4/16,2,4,disease,acute
2022/4/16,2,2,other,urgent
2022/4/16,2,1,goods,urgent
2022/4/16,3,1,other,critical
2022/4/16,3,1,goods,critical
2022/4/16,3,1,disease,acute
2022/4/16,3,1,other,urgent
2022/4/16,4,1,other,critical
2022/4/16,4,2,goods,critical
2022/4/16,4,1,disease,critical
2022/4/16,4,2,serious,critical
2022/4/16,4,1,other,urgent
2022/4/16,5,1,goods,critical
2022/4/16,5,3,serious,critical
2022/4/16,5,1,goods,acute
2022/4/16,5,2,disease,acute
2022/4/16,5,1,other,urgent
2022/4/16,6,5,goods,critical
2022/4/16,6,2,disease,critical
2022/4/16,6,3,serious,critical
2022/4/16,6,5,disease,acute
2022/4/16,6,1,other,urgent
2022/4/16,6,1,goods,urgent
2022/4/16,7,1,other,critical
2022/4/16,7,3,goods,critical
2022/4/16,7,1,disease,critical
2022/4/16,7,4,serious,critical
2022/4/16,7,1,other,acute
2022/4/16,7,14,disease,acute
2022/4/16,7,1,other,urgent
2022/4/16,7,4,goods,urgent
2022/4/16,8,3,other,critical
2022/4/16,8,2,goods,critical
2022/4/16,8,3,disease,critical
2022/4/16,8,14,serious,critical
2022/4/16,8,2,goods,acute
2022/4/16,8,14,disease,acute
2022/4/16,8,7,other,urgent
2022/4/16,8,8,goods,urgent
2022/4/16,8,1,disease,urgent
2022/4/16,9,3,goods,critical
2022/4/16,9,4,disease,critical
2022/4/16,9,10,serious,critical
2022/4/16,9,2,other,acute
2022/4/16,9,1,pregnant,acute
2022/4/16,9,2,goods,acute
2022/4/16,9,21,disease,acute
2022/4/16,9,14,other,urgent
2022/4/16,9,7,goods,urgent
2022/4/16,10,4,goods,critical
2022/4/16,10,2,disease,critical
2022/4/16,10,21,serious,critical
2022/4/16,10,1,goods,acute
2022/4/16,10,20,disease,acute
2022/4/16,10,6,other,urgent
2022/4/16,10,5,goods,urgent
2022/4/16,10,2,disease,urgent
2022/4/16,11,6,goods,critical
2022/4/16,11,2,disease,critical
2022/4/16,11,14,serious,critical
2022/4/16,11,1,goods,acute
2022/4/16,11,14,disease,acute
2022/4/16,11,1,serious,acute
2022/4/16,11,3,other,urgent
2022/4/16,11,4,goods,urgent
2022/4/16,11,1,disease,urgent
2022/4/16,12,5,goods,critical
2022/4/16,12,6,disease,critical
2022/4/16,12,17,serious,critical
2022/4/16,12,1,goods,acute
2022/4/16,12,22,disease,acute
2022/4/16,12,9,other,urgent
2022/4/16,12,5,goods,urgent
2022/4/16,13,4,other,critical
2022/4/16,13,5,goods,critical
2022/4/16,13,5,disease,critical
2022/4/16,13,17,serious,critical
2022/4/16,13,2,other,acute
2022/4/16,13,20,disease,acute
2022/4/16,13,1,serious,acute
2022/4/16,13,9,other,urgent
2022/4/16,13,9,goods,urgent
2022/4/16,14,5,other,critical
2022/4/16,14,3,goods,critical
2022/4/16,14,1,disease,critical
2022/4/16,14,10,serious,critical
2022/4/16,14,1,other,acute
2022/4/16,14,2,pregnant,acute
2022/4/16,14,2,goods,acute
2022/4/16,14,26,disease,acute
2022/4/16,14,2,serious,acute
2022/4/16,14,6,other,urgent
2022/4/16,14,1,disease,urgent
2022/4/16,15,4,goods,critical
2022/4/16,15,8,disease,critical
2022/4/16,15,9,serious,critical
2022/4/16,15,1,pregnant,acute
2022/4/16,15,1,goods,acute
2022/4/16,15,18,disease,acute
2022/4/16,15,2,other,urgent
2022/4/16,15,5,goods,urgent
2022/4/16,16,5,other,critical
2022/4/16,16,5,goods,critical
2022/4/16,16,1,disease,critical
2022/4/16,16,12,serious,critical
2022/4/16,16,1,other,acute
2022/4/16,16,2,pregnant,acute
2022/4/16,16,1,goods,acute
2022/4/16,16,23,disease,acute
2022/4/16,16,3,other,urgent
2022/4/16,16,1,pregnant,urgent
2022/4/16,16,5,goods,urgent
2022/4/16,17,1,other,critical
2022/4/16,17,3,goods,critical
2022/4/16,17,2,disease,critical
2022/4/16,17,14,serious,critical
2022/4/16,17,17,disease,acute
2022/4/16,17,4,other,urgent
2022/4/16,17,1,pregnant,urgent
2022/4/16,17,3,goods,urgent
2022/4/16,18,1,other,critical
2022/4/16,18,2,goods,critical
2022/4/16,18,1,disease,critical
2022/4/16,18,12,serious,critical
2022/4/16,18,2,pregnant,acute
2022/4/16,18,11,disease,acute
2022/4/16,18,4,other,urgent
2022/4/16,18,4,goods,urgent
2022/4/16,19,1,other,critical
2022/4/16,19,6,goods,critical
2022/4/16,19,5,disease,critical
2022/4/16,19,6,serious,critical
2022/4/16,19,1,other,acute
2022/4/16,19,19,disease,acute
2022/4/16,19,1,serious,acute
2022/4/16,19,2,other,urgent
2022/4/16,19,3,goods,urgent
2022/4/16,20,1,other,critical
2022/4/16,20,6,goods,critical
2022/4/16,20,4,disease,critical
2022/4/16,20,9,serious,critical
2022/4/16,20,2,other,acute
2022/4/16,20,4,goods,acute
2022/4/16,20,13,disease,acute
2022/4/16,20,2,serious,acute
2022/4/16,20,2,other,urgent
2022/4/16,20,1,goods,urgent
2022/4/16,20,1,disease,urgent
2022/4/16,21,1,other,critical
2022/4/16,21,6,goods,critical
2022/4/16,21,3,disease,critical
2022/4/16,21,7,serious,critical
2022/4/16,21,1,other,acute
2022/4/16,21,3,goods,acute
2022/4/16,21,17,disease,acute
2022/4/16,21,2,other,urgent
2022/4/16,21,4,goods,urgent
2022/4/16,21,1,disease,urgent
2022/4/16,22,2,other,critical
2022/4/16,22,1,disease,critical
2022/4/16,22,8,serious,critical
2022/4/16,22,11,disease,acute
2022/4/16,22,2,other,urgent
2022/4/16,22,2,pregnant,urgent
2022/4/16,22,2,goods,urgent
2022/4/16,23,2,other,critical
2022/4/16,23,2,goods,critical
2022/4/16,23,3,serious,critical
2022/4/16,23,15,disease,acute
2022/4/16,23,1,serious,acute
2022/4/16,23,5,goods,urgent
2022/4/17,24,2,other,critical
2022/4/17,24,4,disease,critical
2022/4/17,24,3,serious,critical
2022/4/17,24,2,goods,acute
2022/4/17,24,12,disease,acute
2022/4/17,24,1,other,urgent
2022/4/17,24,4,goods,urgent
2022/4/17,1,2,other,critical
2022/4/17,1,1,goods,critical
2022/4/17,1,1,disease,critical
2022/4/17,1,2,serious,critical
2022/4/17,1,3,disease,acute
2022/4/17,1,1,other,urgent
2022/4/17,1,1,goods,urgent
2022/4/17,2,1,goods,critical
2022/4/17,2,1,serious,critical
2022/4/17,2,1,goods,acute
2022/4/17,2,5,disease,acute
2022/4/17,2,3,other,urgent
2022/4/17,2,2,goods,urgent
2022/4/17,3,2,disease,critical
2022/4/17,3,1,other,acute
2022/4/17,3,1,goods,acute
2022/4/17,3,4,disease,acute
2022/4/17,3,1,other,urgent
2022/4/17,4,1,disease,acute
2022/4/17,5,1,other,critical
2022/4/17,5,1,other,acute
2022/4/17,5,1,disease,acute
2022/4/17,6,1,disease,critical
2022/4/17,6,1,serious,critical
2022/4/17,6,4,disease,acute
2022/4/17,6,2,goods,urgent
2022/4/17,7,2,serious,critical
2022/4/17,7,3,other,acute
2022/4/17,7,6,disease,acute
2022/4/17,7,1,other,urgent
2022/4/17,7,2,goods,urgent
2022/4/17,8,3,other,critical
2022/4/17,8,1,goods,critical
2022/4/17,8,1,disease,critical
2022/4/17,8,4,serious,critical
2022/4/17,8,1,goods,acute
2022/4/17,8,5,disease,acute
2022/4/17,8,1,serious,acute
2022/4/17,8,5,other,urgent
2022/4/17,8,1,pregnant,urgent
2022/4/17,8,3,goods,urgent
2022/4/17,8,2,disease,urgent
2022/4/17,9,1,other,critical
2022/4/17,9,1,goods,critical
2022/4/17,9,2,disease,critical
2022/4/17,9,5,serious,critical
2022/4/17,9,2,other,acute
2022/4/17,9,1,goods,acute
2022/4/17,9,8,disease,acute
2022/4/17,9,1,other,urgent
2022/4/17,9,3,goods,urgent
2022/4/17,9,1,disease,urgent
2022/4/17,10,2,other,critical
2022/4/17,10,7,goods,critical
2022/4/17,10,1,disease,critical
2022/4/17,10,7,serious,critical
2022/4/17,10,1,other,acute
2022/4/17,10,1,goods,acute
2022/4/17,10,11,disease,acute
2022/4/17,10,4,other,urgent
2022/4/17,10,4,goods,urgent
2022/4/17,11,1,other,critical
2022/4/17,11,2,goods,critical
2022/4/17,11,5,disease,critical
2022/4/17,11,6,serious,critical
2022/4/17,11,2,pregnant,acute
2022/4/17,11,2,goods,acute
2022/4/17,11,11,disease,acute
2022/4/17,11,6,other,urgent
2022/4/17,11,4,goods,urgent
2022/4/17,12,8,serious,critical
2022/4/17,12,20,disease,acute
2022/4/17,12,1,serious,acute
2022/4/17,12,2,other,urgent
2022/4/17,12,3,goods,urgent
2022/4/17,13,1,other,critical
2022/4/17,13,1,goods,critical
2022/4/17,13,4,disease,critical
2022/4/17,13,9,serious,critical
2022/4/17,13,1,other,acute
2022/4/17,13,15,disease,acute
2022/4/17,13,1,other,urgent
2022/4/17,13,2,goods,urgent
2022/4/17,14,2,other,critical
2022/4/17,14,2,disease,critical
2022/4/17,14,7,serious,critical
2022/4/17,14,1,other,acute
2022/4/17,14,1,goods,acute
2022/4/17,14,17,disease,acute
2022/4/17,14,2,serious,acute
2022/4/17,14,4,other,urgent
2022/4/17,14,1,goods,urgent
2022/4/17,14,1,disease,urgent
2022/4/17,15,1,other,critical
2022/4/17,15,1,disease,critical
2022/4/17,15,9,serious,critical
2022/4/17,15,1,goods,acute
2022/4/17,15,15,disease,acute
2022/4/17,15,2,serious,acute
2022/4/17,15,3,other,urgent
2022/4/17,15,2,pregnant,urgent
2022/4/17,15,1,goods,urgent
2022/4/17,16,2,other,critical
2022/4/17,16,2,goods,critical
2022/4/17,16,1,disease,critical
2022/4/17,16,3,serious,critical
2022/4/17,16,1,pregnant,acute
2022/4/17,16,3,goods,acute
2022/4/17,16,7,disease,acute
2022/4/17,16,1,serious,acute
2022/4/17,16,2,other,urgent
2022/4/17,16,1,pregnant,urgent
2022/4/17,17,1,other,critical
2022/4/17,17,6,goods,critical
2022/4/17,17,2,disease,critical
2022/4/17,17,3,serious,critical
2022/4/17,17,1,pregnant,acute
2022/4/17,17,1,goods,acute
2022/4/17,17,11,disease,acute
2022/4/17,17,3,other,urgent
2022/4/17,17,3,goods,urgent
2022/4/17,17,2,disease,urgent
2022/4/17,18,1,other,critical
2022/4/17,18,1,goods,critical
2022/4/17,18,7,serious,critical
2022/4/17,18,2,pregnant,acute
2022/4/17,18,1,goods,acute
2022/4/17,18,5,disease,acute
2022/4/17,18,2,serious,acute
2022/4/17,18,2,other,urgent
2022/4/17,18,1,goods,urgent
2022/4/17,19,3,goods,critical
2022/4/17,19,7,serious,critical
2022/4/17,19,1,other,acute
2022/4/17,19,1,pregnant,acute
2022/4/17,19,2,goods,acute
2022/4/17,19,9,disease,acute
2022/4/17,19,2,other,urgent
2022/4/17,20,1,other,critical
2022/4/17,20,3,goods,critical
2022/4/17,20,2,disease,critical
2022/4/17,20,7,serious,critical
2022/4/17,20,1,pregnant,acute
2022/4/17,20,8,disease,acute
2022/4/17,20,1,serious,acute
2022/4/17,20,1,goods,urgent
2022/4/17,21,2,disease,critical
2022/4/17,21,12,serious,critical
2022/4/17,21,1,pregnant,acute
2022/4/17,21,12,disease,acute
2022/4/17,21,1,serious,acute
2022/4/17,21,4,other,urgent
2022/4/17,22,1,other,critical
2022/4/17,22,1,disease,critical
2022/4/17,22,6,serious,critical
2022/4/17,22,1,other,acute
2022/4/17,22,10,disease,acute
2022/4/17,22,1,other,urgent
2022/4/17,22,2,goods,urgent
2022/4/17,23,1,other,critical
2022/4/17,23,4,serious,critical
2022/4/17,23,1,other,acute
2022/4/17,23,7,disease,acute
2022/4/17,23,4,other,urgent
2022/4/17,23,1,goods,urgent
2022/4/17,23,1,disease,urgent
2022/4/18,24,1,other,critical
2022/4/18,24,5,serious,critical
2022/4/18,24,1,other,acute
2022/4/18,24,1,pregnant,acute
2022/4/18,24,6,disease,acute
2022/4/18,24,3,other,urgent
2022/4/18,1,2,serious,critical
2022/4/18,1,1,disease,acute
2022/4/18,1,1,other,urgent
2022/4/18,2,2,goods,critical
2022/4/18,2,1,disease,critical
2022/4/18,2,3,serious,critical
2022/4/18,2,2,other,urgent
2022/4/18,3,1,other,critical
2022/4/18,3,1,goods,critical
2022/4/18,5,1,goods,critical
2022/4/18,5,1,other,urgent
2022/4/18,5,1,pregnant,urgent
2022/4/18,5,2,goods,urgent
2022/4/18,6,1,goods,critical
2022/4/18,6,1,serious,critical
2022/4/18,6,2,disease,acute
2022/4/18,7,1,serious,critical
2022/4/18,7,2,disease,acute
2022/4/18,7,1,goods,urgent
2022/4/18,7,1,disease,urgent
2022/4/18,8,1,serious,critical
2022/4/18,8,1,other,acute
2022/4/18,8,2,goods,acute
2022/4/18,8,4,disease,acute
2022/4/18,8,2,serious,acute
2022/4/18,8,1,goods,urgent
2022/4/18,9,3,other,critical
2022/4/18,9,1,goods,critical
2022/4/18,9,1,disease,critical
2022/4/18,9,10,serious,critical
2022/4/18,9,15,disease,acute
2022/4/18,9,1,serious,acute
2022/4/18,9,7,other,urgent
2022/4/18,10,2,other,critical
2022/4/18,10,4,disease,critical
2022/4/18,10,9,serious,critical
2022/4/18,10,2,goods,acute
2022/4/18,10,15,disease,acute
2022/4/18,10,6,other,urgent
2022/4/18,11,2,goods,critical
2022/4/18,11,8,serious,critical
2022/4/18,11,9,disease,acute
2022/4/18,11,2,serious,acute
2022/4/18,11,1,other,urgent
2022/4/18,11,4,goods,urgent
2022/4/18,11,1,serious,urgent
2022/4/18,12,4,other,critical
2022/4/18,12,3,goods,critical
